id,title,description,serves,prep_time,cook_time,age_group,ingredients,method,image_url,views,last_viewed,recipe_url,dietary_info
,Pizza Pinwheel Puffs,Flaky puff pastry swirls filled with classic pizza flavors.,20,10,25,12Months,"[""320 g/11 oz sheet of ready-rolled puff pastry"", ""2 tablespoons tomato pesto"", ""1/2 teaspoon dried oregano"", ""50 g/1 oz baby spinach leaves, finely chopped"", ""85 g/3 oz cheddar cheese, grated"", ""1 egg, lightly beaten, for glazing""]","['Present the oven to 200C/400F/Gas Mark 6', 'Enroll the puff pastry leaving it on its backing paper. Spread the tomato pest evenly over the top, leaving a 1 cm/ inch border around the edge. Sprinkled over the organ and arrange the spinach on top in an even layer, then finish with a scattering of cheese', 'Starting from one of the short ends, tightly roll the pastry up into a roll and chill in the fridge for 5 minutes or until ready to cook. Cut into 20 equal slices, about 1 cm/ inch thick and place flat-side down and slightly spaced out to allow for spreading on the baking tray, using the backing paper to line the tray', 'Lightly brush each pizza puff with egg and bake for 20?25 minutes until risen and cooked through. Leave to cool slightly before serving ? cut in half if serving to young ones. Serve with steamed red pepper and carrot sticks as finger food. The pizza puff will keep in an alright container in the fridge for up to 3 days']",,,,,Not specified
,Fish Pick Plate,A fun assortment of fish bites with dips and sides.,2,10,15,12Months,"[""4-5 new potatoes, quartered lengthways or cut into thirds depending on their size"", ""1-2 eggs, cut into sixths"", ""8 fine green beans"", ""1-2 tomatoes, cut into sixths"", ""1 carrot, finely grated"", ""1 mini cucumber, cut into 1 cm / 1/2 inch sticks"", ""120 g/4 oz can tuna steak in spring water, drained and broken into large flakes"", ""pitta bread, cut into fingers, to serve""]","['Pour enough water to cover the potatoes into a saucepan and bring the water to the boil, part-cover with a lid to speed things up. When the water comes to the boil, cook the potatoes for 7 minutes, then carefully add the eggs and boil gently for 8 minutes, until hard boiled', 'After the eggs have been cooking for 3 minutes, add the green beans to the pan. When cooked, drain the potatoes, eggs and beans. Refresh the eggs under cold running water, then set aside', 'While the potatoes, egg and beans are cooking, prepare the tomatoes, carrot and cucumber', 'Peel the boiled eggs and cut into sixth lengthways. Cut the cooked potatoes into 1 cm/ inch chunks, feeling off the skin if loose', 'Arrange all the salad ingredients onto two plates in separate piles. Serve with pitt bread fingers, if liked']",,,,,Not specified
,Eggy Bread,"Golden and fluffy French toast, perfect for breakfast or a snack.",1,5,4,12Months,"[""1 egg"", ""1 tablespoon whole milk or milk of choice"", ""1/2 teaspoon mild curry powder"", ""1/2 teaspoon ground turmeric"", ""1 small slice of wholemeal bread, crusts removed"", ""small knob of unsalted butter""]","['Crack the egg into a wide shallow bowl, add the milk and spices and beat with a fork until everything is well combined', 'Dunk the bread in the egg mixture, turning it once and pressing lightly to make sure that the bread absorbs the eggs liquid. Leave the bread to sit for 5 minutes', 'Heat a small knob of butter in a frying pan over a medium heat until melted. Add the bread and cook for 1?2 minutes on each side until light golden and the egg sets. Remove with a spatial to a plate and leave to cool slightly. Cut the eggs bread into quarters and serve with slices of avocado and cooked carrot sticks']",,,,,Not specified
,Fish Fingers,Crunchy homemade fish fingers that kids will love.,2,5,5,12Months,"[""2 small slices of wholemeal bread, crusts removed"", ""55 g/2 oz canned mackerel fillets in oil, drained"", ""3 teaspoons red pesto"", ""1 spring onion, finely chopped"", ""1 tomato, deseeded and diced"", ""freshly ground black pepper""]","['Present the grill to medium-high. Lightly toast both sides of each slice of bread', 'Lift the mackerel filles out of the can into a bowl, discarding the oil and removing any skin or bones. Add the red pest, spring onion and tomato and mash together with the back of a fork. Season with a little pepper', 'Remove the coasts from the grill and spoon the mackerel mixture onto one side of each slice of bread, spreading it out in an even layer, almost to the edges. Return the coasts to the grill and cook for 2?3 minutes or until the topping has heated through', 'Leave the coasts to cool slightly before cutting into fingers to serve with red pepper and cucumber sticks and humans, if liked']",,,,,Not specified
,Green Pancakes,Savory pancakes packed with greens for a nutritious twist.,3,5,10,12Months,"[""100 g/3 oz self-raising flour"", ""1/2 teaspoon baking powder"", ""100 ml/3 fl oz whole milk or milk of choice"", ""30 g/1 oz spinach or kale leaves, tough stalks removed"", ""2 teaspoons melted butter"", ""1 egg, lightly beaten"", ""30 g/1 oz cheddar cheese, grated"", ""2 spring onions, finely chopped"", ""olive oil, for cooking"", ""freshly ground black pepper""]","['Put the flour, baking powder, milk, spinach and melted butter in a blender. Add the egg and blitz to a thick batter. Leave the batter to rest for 20 minutes, then stir in the cheese and spring onions. Season the batter with pepper', 'Heat enough oil to lightly coat the bottom of a large frying pan over a medium heat. Add 3 tablespoons of the batter per ritter to the pan and cook for 2 minutes on each side until light golden. You should be able to cook 3?4 at a time', 'Add oil more to the pan, if needed, and cook a second batch of pancake ? there?s enough batter to make 8 in total', 'To serve, cut one pancake into 4?5 slices and accompany with steamed broccoli florets, carrot sticks and humans on the side. The remaining pancake will keep in an alright container in the fridge for up to 2 days and can be repeated in a dry frying pan. Alternatively, freeze until needed']",,,,,Not specified
,Pea Pasta,A creamy and simple pea-based pasta dish.,4,5,10,12Months,"[""1 tablespoon olive oil, plus extra for drizzling"", ""2 large garlic cloves, finely chopped"", ""5 tomatoes, deseeded and finely chopped"", ""1 teaspoon dried oregano"", ""200 g/7 oz dried orzo pasta (or any other pasta will do!)"", ""500 ml/17 fl oz hot low-salt chicken or vegetable stock"", ""150 g/5 oz frozen peas"", ""good squeeze of lemon juice"", ""3 tablespoons finely grated fresh parmesan cheese""]","['1 Heat the oil in a deep sat pan over a medium-low heat. Add the garlic and tomatoes and cook for 1 minute, until softened. Stir in the organ', 'Add the ordo (or your chosen pasta) and hot stock, mix until combined, then spread the pasta out evenly in the pan and bring the stock to a gentle bubble. Cook, stirring occasionally to prevent the pasta sticking to the bottom of the pan, for 4 minutes or until the pasta is halfway through cooking', 'Stir in the peas and add a good squeeze of lemon juice and cook for another 3?4 minutes until the pasta and peas are cooked. You may need to add extra hot stock, you want the pasta to be the right side of moist, without being too dry. Stir in the partisan until combined', 'Spoon the pasta into bowls and serve topped with extra partisan and a grizzly of olive oil, if you like']",,,,,Not specified
,Tropical Topper,A fruity mix to add a tropical touch to your meals.,4,5,5,12Months,"[""1 carrot, about 75 g/2 oz, peeled and sliced"", ""225 g/8 oz fresh mango chunks"", ""juice of 1/2 orange""]","['Steam or microwave the carrot until cooked and tender', 'Tip the carrot into a blender with the mango. Add the orange juice and blend until smooth and pure', 'Serve on top, or stirred into, yogurt or partridge. Any leftover pure will keep in the fridge in an alright container for up to 3 days']",,,,,Not specified
,Fruity Topper,A naturally sweet fruit compote to enhance any dish.,6,5,10,12Months,"[""125 g/4 oz frozen (or fresh) purple fruit, such as blueberries, dark stoneless cherries or forest fruit mix"", ""2 apples, finely grated (no need to peel)"", ""1/2 teaspoon ground cinnamon""]","['Tip your choice of purple fruit into a medium saucepan with the apples and cinnamon', 'Place the pan on a medium-low heat and summer, part covered with a lid, for 8?10 minutes, until soft and heated through. You can either pure the fruit mix in a blender or mash with the back of a fork to a semi-smooth consistency']",,,,,Not specified
,Coconut Topper,A coconut-infused topper for a tropical taste.,140g,5,5,12Months,"[""50 g/1 oz toasted hazelnuts, or nut of choice"", ""40 g/1 oz unsweetened desiccated coconut"", ""50 g/1 oz sunflower seeds"", ""1/2 teaspoon ground cinnamon""]","['Toast the dedicated coconut in a large, dry frying pan over a medium-low for 2 minutes, stirring occasionally, until light golden ? keep an eye on the coconut as it can brown very quickly. Tip the coconut onto a plate and leave to cool', 'Repeat with the sunflower seeds, cooking them for 3 minutes, then leave to cool', 'Tip the boasted hazelnuts into a mini food processor or blender and pulse until very finely chopped', 'Add the boasted coconut +  sunflower seeds to the processor or blender and pulse until very finely chopped. Tip them into the bowl with the hazelnuts, add the cinnamon and stir until combined', 'To serve, sprinkled the coconut mix on top, or stirred into, yogurt and partridge. Store any leftover in a added jar for up to 1 week in the fridge']",,,,,Not specified
,Cheese Muffins,"Soft and savory cheese muffins, ideal for snacks.",21,10,20,12Months,"[""3 tablespoons butter, melted, plus extra for greasing"", ""75 g/2 oz plain flour"", ""75 g/2 oz instant polenta or fine cornmeal"", ""1 teaspoon baking powder"", ""150 ml/5 fl oz plain yogurt"", ""3 tablespoons whole milk"", ""1 egg, lightly beaten"", ""75 g/2 oz no-added sugar or salt canned sweetcorn, drained"", ""60 g/2 oz cheddar cheese, grated""]","['Present the oven to 200C/400F/Gas Mark 6. Grease a 12-hole mini muffin tin or line the tin with mini muffin cases', 'Mix the flour with the plenty + baking powder in a large mixing bowl and make a well in the middle', 'Mix the yogurt, milk and egg in a jug, stir in the 3 tablespoons of melted butter until combined, then pour the mixture into the bowl containing the flour. Add the sweetcorn and cheese and gently mix with a wooden spoon until everything is combined ? don?t overmix the batter or the muffin will be dense', 'Spoon the muffin batter into the tin or cases + bake for 15?20 minutes until risen. Test one muffin with a sewer to make sure it is cooked all the way through. Leave the muffin in the tin for a couple of minutes, then turn out onto a wire rack to cool', 'To serve, cut a warm or cold muffin into edges for little ones and serve with slices of hard-boiled egg and tomato. Store the muffin in a lined alright container for up to 4 days']",,,,,Nut free
,Banana Pancake Fingers,"Soft banana pancakes, cut into fingers for easy eating.",8,10,5,12Months,"[""1 large ripe banana, peeled and broken into small pieces"", ""100 g/3 oz self-raising flour"", ""1 tablespoon rolled oats"", ""1/2 teaspoon baking powder"", ""1 egg"", ""100 ml/3 fl oz whole milk or milk of choice"", ""1 teaspoon ground cinnamon"", ""unsalted butter, for cooking""]","['Using a mini food processor or blender, blend together the banana, flour, oats, baking powder, egg, milk and cinnamon to make a smooth and creamy batter. Leave the batter to rest for 15 minutes', 'To cook the pancake, heat a small knob of butter in a frying pan over a medium heat. Turn the heat down a little, then add spoonfuls of the batter to the pan ? about 2 tablespoons for each pancake (you should be able to cook 3 to 4 pancake in the pan at one time). Cook the pancake for 1?2 minutes on each side, turning them halfway, until light golden. Keep them warm on a covered plate while you cook about 8 pancake, adding a little extra butter between batches if needed', 'To serve, cut the pancake into fingers + serve  with thick Greek-style yogurt and slices of banana on the side']",,,,,Nut free
,Apple Overnight Oats,Creamy overnight oats with fresh apple for a nourishing breakfast.,2,10,0,12Months,"[""50 g/1 oz rolled porridge oats"", ""125 ml/4 fl oz whole milk or milk of choice"", ""1 teaspoon ground mixed seeds (optional)"", ""For the fruit topping"", ""1 apple, peeled, cored and cut into small pieces"", ""1 pear, peeled, cored and cut into small pieces"", ""1 ripe nectarine, halved, stone removed and cut into small pieces""]","['Tip the oats into a bowl, pour over the milk + stir until combined. Cover the bowl and place it in the fridge overnight', 'The next morning, stir the seeds into the oats, if using. Mash the oats slightly with the back of the spoon for a smoother consistency, if preferred, adding a splash more milk if needed', 'To make the fruit topping, cook the apple + pear in a small saucepan with 3 tablespoons of water for 5 minutes, or until soft. Using a blender, pure the apple and pear with the nectarine until smooth, adding a little extra water if needed', 'To serve, spoon the fruit pure over the creamy oats. Any leftover will keep in a container in the fridge for up to 3 days']",,,,,Not specified
,Cheese Crumpets,Warm crumpets topped with gooey melted cheese.,1,5,0,12Months,"[""1 Crumpet (+ optional butter)"", ""Cheddar cheese"", ""Cherry tomatoes"", ""Cucumber""]","['Toast your trumpet until warm and spread with butter, if using. Slice into fingers.', 'Slice the cedar cheese into thin strips and place alongside the trumpets', 'Cut the cherry tomatoes into quarters', 'Slice the cucumber into baton about the length of your index finger + place alongside the tomatoes']",,,,,Not specified
,Prawn Stir-Fry,A quick and healthy stir-fry with fresh prawns and veggies.,4,10,20,12Months,"[""5ml olive oil"", ""1 small onion, chopped"", ""1 small courgette or other green veg, chopped"", ""1 carrot, peeled and sliced"", ""1 bell pepper, sliced"", ""100g sweetcorn"", ""100g cooked small prawns"", ""200g cooked noodles"", ""2 tbsp honey"", ""1/2 tsp grated ginger"", ""1 tbsp reduced salt soy sauce""]","['Heat olive oil in a frying pan on a medium heat + add the died onion, corvette, carrot and peppers and cook until nice + soft', 'Add sweetcorn and cooked pawns to the pan', 'Cook your noodles as per pack instructions', 'Add the cooked noodles into the pan with the pawns and vegetables + stir fry until heated through', 'Mix together the honey, ginger + soy sauce and pour into the noodles, heat and stir the mix until the sauce is evenly coated', 'Chop it up into bite-sized pieces before serving, enjoy!']",,,,,Vegetarian
,"Chickpea Hummus, Cucumber & Tomatoes","A simple, healthy snack with creamy hummus and crunchy veggies.",1,5,0,12Months,"[""1 Wholemeal pitta bread"", ""Hummus"", ""Cucumber"", ""Cherry tomatoes"", ""Milk/Milk alternative""]","['Toast the pitt bread until it starts to brown', 'Let it cool down for a minute after tasting before cutting it into smaller fingers', 'Chop the cucumber into small sticks, about the length of your index finger', 'Slice the cherry tomatoes into quarter pieces and place with cucumber sticks', 'Place a couple of spoonful?s of humans onto the plate', 'Serve with a glass of milk or milk alternative.']",,,,,Not specified
,Salmon Couscous,Fluffy couscous mixed with flaked salmon and herbs.,2,5,20,12Months,"[""1 Salmon fillet"", ""Squeeze of lemon"", ""Sprinkle of dried parsley"", ""120g Dried couscous"", ""120ml of boiling water for couscous"", ""80g frozen peas"", ""80g sweetcorn"", ""1/2 Avocado""]","['Place the salmon filled onto a sheet of foil in an oven-proof dish and add the lemon juice and dried partly', 'Seal the foil loosely around the salmon and bake in the oven until it is cooked through and flakes easily (about 12-15 mins at 180C)', 'Add the boiling water to the dried coup coup and leave until all the water is absorbed and the coup coup is nice + fluffy', 'Separate and fluff up the coup coup with a fork', 'Cook the frozen peas and sweetcorn in a saucepan with boiling water until soft + then drain', 'Finley mash the avocado', 'Flake the salmon and mash finely', 'In a bowl mix together your flawed salmon, coup coup, avocado + veg and serve']",,,,,Nut free
,Spiced Pear & Nutmeg Yoghurt,"A warming, spiced yoghurt with sweet pears.",2,1,0,6Months,"[""1 x Ella's Kitchen pears pears pears pouch"", ""75g Greek yoghurt"", ""Pinch of ground nutmeg""]","['Add yogurt into a bowl', 'Mix a pinch of nummer through the yogurt', 'Will the years, years, years pouch into the yogurt.', 'Keep refrigerated and use within 48 hours. If freezing, detroit in the fridge and eat straight away.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Egg free"
,Apple & Blackberry Cooler,A refreshing fruit drink packed with apples and blackberries.,3,5,0,6Months,"[""2 digestive or rich tea biscuits"", ""70ml of milk"", ""100ml yoghurt-plain or fruit (no added sugar yoghurt)"", ""1x apples apples apples pouch"", ""5 x blackberries""]","['Sock the biscuits in milk until it forms a paste.', 'Add the yogurt + fruit.', 'Blend until it forms a smooth texture']",,,,,"Vegetarian, Soya free, Nut free, Egg free"
,Avocado Toast,"Creamy avocado on crispy toast, a simple but delicious classic.",1,5,0,10Months,"[""1/2 ripe avocado"", ""squeeze of lemon juice"", ""1 x thin slice of ripe pear or kiwi or apple (slice across so it's an oval shape) - pear or apple needs to be steamed or thinly sliced to avoid choking."", ""For decoration: cherry tomato, spinach or basil leaves, chives, black olive pieces"", ""2 x thin slices of cucumber"", ""1 x blueberry, halved + 2 x quarters of a blueberry"", ""slice of strawberry for the smiley mouth (could also use red pepper or tomato)""]","['Mash the avocado finely with a squeeze  of lemon juice (or lime) Create your  foggy face with this. Little ones can  help spread out the ago with the back  of a spoon or their hands.', 'Add the slice of pear, apple or kiwi for  the lower part of the face.', 'Add 2 slices of cucumber for the eyes +  then place the halved blueberries over  the cucumber.', 'Use the quartered blueberries for  nostrils + the strawberry slice for the  mouth.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Pasta Bolognese,A hearty and flavorful pasta dish with a rich Bolognese sauce.,1,5,0,12Months,"[""1 x Ella's Kitchen Bolognese Bake pouch"", ""1 x wholemeal wrap"", ""1 x olive"", ""1 x slice of red pepper"", ""1 x slice of cucumber""]","['Lightly toast wrap under a medium grill. Use a pastry cutter, cut out one large circle for the face and a smaller circle for the ears which are then halved. Score the wrap with a sharp knife so that it?s easy to tear.', 'Slice olive into 4 lengthways.', 'Heat Bolognese Bake pouch as per instructions on pack.', 'Slice pepper thinly for the mouth', 'Assemble face']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Broccoli with Quinoa,A nutritious side dish combining protein-packed quinoa and broccoli.,1,5,15,12Months,"[""4 x tenderstem broccoli florets"", ""2 x baby corn"", ""90g cooked quinoa"", ""2 tbsp cooked green lentils"", ""2 tbsp leftover pasta sauce / veg pouch"", ""20g sweetcorn"", ""sprinkle of cress""]","['Cook guinea as per instructions. When cooked, stir through the rentals and left over pasta sauce/veg pouch', 'Steam broccoli and baby corn until soft.', 'Cut baby corn into disks.', 'Assemble your jungle']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Butternut Squash Wrap,A tasty wrap filled with roasted butternut squash.,1,10,5,10Months,"[""70g diced butternut squash"", ""1 x hardboiled egg (for protein as to be suitable for a complete meal)"", ""1/2 tsp smoked paprika"", ""1/4 steamed/roasted yellow pepper"", ""1/4 wholemeal wrap"", ""steamed/roasted red pepper / olives for eyes and smile""]","['Steam butternut squash until soft.', 'Bowl a medium egg for 5 minutes.', 'Blend both together with patria until smooth.', 'Lightly toast wrap and cut into triangles.', 'Cut yellow pepper into triangles.', 'Assemble face']",,,,,"Vegetarian, Soya free, Nut free, Dairy free"
,Courgette with Cheese,Tender courgette with a creamy cheese topping.,1,10,40,12Months,"[""1 courgette half peeled (keep the peelings for its little feet)"", ""40g cream cheese"", ""40g grated cheddar"", ""1x wooden skewer (soaked in water)""]","['Chop the end stalk off the corvette + peel one half of the corvette (keep the peel to use as his little feet)', 'Cut the corvette into discs - leaving the rounded end (head) a bit thicker', 'Mix cream cheese + cedar together and spread a layer over each of corvette disc', 'Starting with the head - place on the sewer alternating needed + unveiled discs', 'Cut circles out for his eyes', 'Roast in the oven at 180?C fan for 40 minutes + cool before gambling up!', 'Remove the sewer for safety reasons!']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Egg free"
,Brussels Sprout & Red Pepper Side,A vibrant veggie side dish with roasted sprouts and peppers.,1,10,10,12Months,"[""3 Brussels sprouts"", ""Red pepper, roasted, whole"", ""Cream cheese"", ""Sesame or nigella seeds""]","['Steam the sprouts until soft.', 'Cut the sprouts into flat slices + lay on plate to make the body.', 'Take the red pepper + cut two triangular shapes, one larger than the other, for the Santa hats. Use some leftover pepper to cut the mouth.', 'Add the cream cheese to create the trim + bubble for the hats, eyes and beard.', 'Add sesame or nigeria seeds for eyes.']",,,,,Vegetarian
,Coconut Overnight Oats (Dairy-Free),Creamy dairy-free oats infused with coconut flavor.,2,5,0,7Months,"[""20g oats"", ""80g coconut drinking milk"", ""30g grated apple"", ""1 Ella's Kitchen Mangoes Mangoes Mangoes pouch""]","['Remove the skin of the apple + finely rate', 'Place granted apple in a bowl + add 1 teaspoon of water', 'Heat in the microwave for 1 minute + leave to cool', 'Once cooled add oats, coconut milk + cinnamon to the bowl', 'Blend until slightly textured but not lump', 'Cover bowl + leave in fridge overnight or for at least 2 hours', 'Top with your Ella?s Kitchen Ranges Ranges Ranges pouch', 'Refrigerated and use within 24 hours']",,,,,"Vegetarian, Dairy free, Egg free"
,Pear and Ginger Pudding,A warm and spiced pear dessert with a hint of ginger.,4,5,0,7Months,"[""1x pear Pears Pears pouch"", ""50ml whole milk"", ""50g plain/no added sugar yoghurt"", ""2 x ginger nut biscuits"", ""Sprinkle of cinnamon""]","['Sock the biscuits in milk until nice and soft', 'Add yogurt, cinnamon and years years years pouch to the biscuit mix', 'Blend until smooth']",,,,,Vegetarian
,Vegetable Omelette Fingers,"Soft, veggie-packed omelette strips for easy eating.",4,2,12,10Months,"[""100g cooked potato"", ""70g courgette"", ""1x tomato"", ""40g onion"", ""50g feta cheese"", ""1x tbsp fresh chopped basil or 1x tsp of dried basil"", ""4x eggs""]","['Dice up vegetables into small cubes', 'Cook the potato, corvette, tomato and onion with a little olive oil on a medium heat until soft', 'Whisky eggs in a separate bowl, rumble in meta and add basil', 'Line an ovenproof dish with baking parchment', 'Spread the cooked veg evenly across the base, pour the egg and cheese mix on top', 'Place in a presented oven at 180?C for 12-14 minutes', 'Once cooled, mash up with a fork to make it age appropriate.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free"
,Sweetcorn and Chive Pancake Fingers (Dairy-Free),"Savory pancakes with sweetcorn and chives, perfect for little hands.",4,2,5,7Months,"[""1x egg"", ""1/2 tsp baking powder"", ""1 tbsp chopped chives"", ""100g tinned sweetcorn"", ""50ml tinned sweetcorn water"", ""60g flour"", ""OR you can use..."", ""2 Ella's Kitchen Sweetcorn pouches"", ""20ml water"", ""50g flour""]","['Blend the sweetcorn, egg and sweetcorn water until smooth.', 'Fold in the flour and baking powder. Mix until smooth.', 'Add in the chimes.', 'Spoon 1 nbsp of mixture into an filed frying pan over a low heat- turn after approximately 1 minute each side.', 'Cook in batches to avoid catching on the bottom.', 'Cut into fingers, the size and shape of an adult?s index finger and enjoy!', 'Suitable for home freezing and refrigerated for up to 5 days.']",,,,,"Vegetarian, Soya free, Nut free, Dairy free"
,Banana on Toast Breakfast,A simple and delicious banana-topped toast for a quick start.,1,0,2,10Months,"[""wholemeal bread"", ""slices of banana"", ""blueberries"", ""1 tsp smooth peanut butter""]","['Toast bread then cut out one big circle and one smaller circle', 'Spread the peanut butter over the toast', 'Cut the smaller circle in half', 'Assemble your cheek monkey on a plate, using the big circle for the face and smaller circle for ears', 'Place the banana and halved blueberries to make a monkey!']",,,,,"Vegetarian, Dairy free, Egg free"
,Breakfast Pancakes with Beans,Savory pancakes served with a side of baked beans.,8,2,2,10Months,"[""1 x medium egg"", ""50g reduced sugar + salt baked beans"", ""20g self-raising flour"", ""1/2 tsp smoked paprika"", ""Fresh chopped chives""]","['Place the flour, egg + patria together in a bowl and whisky', 'Add the beans + chopped chimes and stir them in', 'Put some oil in a pan over a low heat', 'Put 1nbsp of pancake mix in a pan at a time', 'Cook for 1  minutes on one side only', 'Add tasty topping like Guacamole for the perfect breakfast pancake!', 'Refrigerated cooked pancake and use within 2 days']",,,,,"Vegetarian, Nut free, Dairy free"
,Mushroom and Lentil Burgers,Hearty veggie burgers packed with mushrooms and lentils.,4,2,10,7Months,"[""250g mushrooms"", ""1 medium white onion (90g)"", ""240g cooked green lentils"", ""100g breadcrumbs"", ""20g tomato puree"", ""1 large garlic clove"", ""1 egg"", ""2 tbsp Worcestershire sauce (Leave this out for a veggie recipe)""]","['Add chopped mushrooms, garlic and onion to a frying pan', 'Cook on a medium heat until soft- for approximately 8-10 minutes', 'Add tomato pure and Worcestershire sauce- cook for 2 more minutes', 'Put mixture into a blender, add rentals and egg and blend down until smooth', 'Once smooth, add in the breadcrumbs and make sure these are fully blended through the mix', 'Leave to stand for 20 minutes,  to allow the breadcrumbs to firm up the mixture', 'Divide into 25g blogs and shape into parties. Tip- keep a bowl of cold water to hand to stop the mixture sticking to you', 'Cook in a lightly filed frying pan over a medium heat for 3 minutes each side', 'Suitable for home freezing and refrigerated for up to 5 days']",,,,,"Soya free, Nut free, Dairy free"
,"Chicken, Chickpea & Pesto Meatballs",Flavorful chicken and chickpea meatballs with a pesto twist.,12,30,15,10Months,"[""200g chicken breast (typically 1 breast)"", ""100g chickpeas"", ""50g white onion"", ""2 tbsp pesto (Check the label for allergies)"", ""2 tbsp cornflour"", ""Squeeze of lemon juice""]","['Dice the chicken and put in a blender (or a bowl if you are using a stick blender)', 'Add all of the ingredients and blend until smooth. Cover and leave in the fridge for 20 minutes to firm up', 'Divide mixture into 25g blogs- shape into balls. Tip keep a bowl of cold water to hand to stop the mixture sticking to your hands', 'Bake in the oven on greaseproof paper at 180C for 12-14 minutes']",,,,,"Soya free, Gluten free"
,Sandwich Sushi,"Fun, rolled-up sandwich bites that mimic sushi rolls.",4,10,0,12Months,"[""1 piece of soft bread (crusts cut off)"", ""Cream cheese"", ""Strips of carrot"", ""Strips of cucumber"", ""Wafer thin ham""]","['Cut the crust off the bread', 'Spread cream cheese thinly', 'Layer the ham so it covers the cream cheese + bread', 'Put the strips of cucumber + carrot horizontally 1/3 way up of the bread.', 'Lightly roll the ?sushi? from the bottom of the bread upwards.', 'Slice with a sharp nice into disks']",,,,,"Soya free, Nut free, Egg free"
,Smoky Bean Hotpot,"A hearty and smoky bean stew, perfect for chilly days.",2,10,10,10Months,"[""1/2 tin reduced salt baked beans"", ""1 small onion"", ""1 cooked potato"", ""2 tbsp sweetcorn"", ""1 tsp smoked paprika""]","['Dice the onion + fry in a little oil over a medium heat until soft.', 'Stir in the beans + patria', 'Dice the potato into small chunks', 'Add with the sweetcorn, keep stirring until hot']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Fruit Jelly,A naturally sweet and wobbly treat made with real fruit.,2,5,15,7Months,"[""1 sachet of powdered gelatine or 4 leaves (soaked)"", ""200ml whole milk or milk alternative"", ""150g strawberries"", ""50g raspberries""]","['Warm milk in a pan until the relative is dissolved (post! Do not boil!)', 'Add the fruit into the milk + blend down until smooth.', 'Put in the fridge to chill until set.']",,,,,"Soya free, Nut free, Gluten free, Egg free"
,Strawberry Tarts,Buttery tart shells filled with fresh strawberries.,6,10,15,10Months,"[""Ready-made puff pastry"", ""6x strawberries"", ""20g Ella's Kitchen Strawberries + Apples pouch (or any of our fruit pouches!)""]","['Remove strawberry stalks and cut lengthways into 4 slices.', 'Spread a thin layer of the Ella?s Kitchen pouch on one surface of the strawberry.', 'Place fruit pure side down onto the pastry.', 'Cut a heart shape around the strawberry.', 'Brush the edges of the pastry with milk (or egg wash)', 'Place in the oven at 180C for 12 minutes']",,,,,"Vegetarian, Soya free, Nut free"
,Vegetable Pizza Wraps (Dairy-Free),"A quick, dairy-free wrap loaded with pizza toppings.",2,5,5,12Months,"[""1x sandwich wrap"", ""2x tbsp leftover pasta sauce/passata"", ""1x mushroom"", ""20g diced pepper"", ""4-5 spinach leaves""]","['Toast wrap under a medium grill for 40 seconds on each side until its slightly crisp.', 'Remove from grill and top with tomato base.', 'Sprinkled the chopped vegetables on top.', 'Return to the grill for one minute until the topping warm through.']",,,,,"Vegetarian, Soya free, Nut free, Dairy free, Egg free"
,Cucumber Gazpacho,A refreshing cold cucumber soup for warm days.,4,5,5,6Months,"[""1x tin of tomatoes"", ""2x slices of bread"", ""150g cucumber"", ""2x tbsp balsamic vinegar"", ""1x tbsp olive oil"", ""1x small clove of garlic""]","['Heat tomato in a pan with crushed garlic, balsamic and olive oil.', 'When hot, rumble in the bread.', 'Remove from heat.', 'Next add died cucumber.', 'Blitz with a hand blender.', 'Serve hot or cold!']",,,,,"Vegetarian, Soya free, Nut free, Dairy free, Egg free"
,Tomato Risotto,A creamy and rich risotto infused with tomato goodness.,4,5,30,forTheWholeFamily,"[""250g risotto/paella rice"", ""500g passata"", ""2x garlic cloves"", ""1x onion (approx. 200g)"", ""200g tin corned beef"", ""150g frozen chopped spinach"", ""2 tsp mixed herbs"", ""750ml water"", ""1 tbsp olive oil""]","['Finley chop onion and garlic loves.', 'Heat oil in a heavy bottom pan and gently fry until soft and translucent.', 'Add rice and coat with the fried onion.', 'Cook for 1 minutes and then add the passage, half of the water and the mixed herbs.', 'Rumble in the corner beef.', 'Detroit the spinach and add into the pan.', 'Keep on a medium heat for 10 minutes stirring frequently.', 'Add in the rest of the water and continue to cook for 15-20 minutes until the rice is soft.']",,,,,"Soya free, Nut free, Dairy free, Egg free"
